H,H,H,H,H,Q
Exp,Location,Plot,Crop,Variety,Rep
AMEN,Lind2024,1,Camelina,BORDER,NA
AMEN,Lind2024,2,Pennycress,MN106-FR,1
AMEN,Lind2024,3,Pennycress,ISU-86,1
AMEN,Lind2024,4,Camelina,Cheyenne,1
AMEN,Lind2024,5,Camelina,Calena,1
AMEN,Lind2024,6,Pennycress,H8-3,1
AMEN,Lind2024,7,Camelina,Joelle,1
AMEN,Lind2024,8,Camelina,WA-HT1,1
AMEN,Lind2024,9,Pennycress,H8-2,1
AMEN,Lind2024,10,Pennycress,ISU-254,1
AMEN,Lind2024,11,Camelina,Suneson,1
AMEN,Lind2024,12,Camelina,BSX-WGI,1
AMEN,Lind2024,13,Pennycress,MN106,1
AMEN,Lind2024,14,Camelina,Bison,1
AMEN,Lind2024,15,FALLOW,FALLOW,NA
AMEN,Lind2024,16,Camelina,Joelle,2
AMEN,Lind2024,17,Camelina,Cheyenne,2
AMEN,Lind2024,18,Camelina,Suneson,2
AMEN,Lind2024,19,Pennycress,MN106,2
AMEN,Lind2024,20,Pennycress,H8-2,2
AMEN,Lind2024,21,Camelina,Bison,2
AMEN,Lind2024,22,Pennycress,ISU-86,2
AMEN,Lind2024,23,Camelina,Calena,2
AMEN,Lind2024,24,Pennycress,ISU-254,2
AMEN,Lind2024,25,Camelina,WA-HT1,2
AMEN,Lind2024,26,Pennycress,MN106-FR,2
AMEN,Lind2024,27,Pennycress,H8-3,2
AMEN,Lind2024,28,Camelina,BSX-WGI,2
AMEN,Lind2024,29,Camelina,BORDER,NA
AMEN,Lind2024,30,Camelina,OSU-4,1
AMEN,Lind2024,31,Camelina,OSU-11,1
AMEN,Lind2024,32,Camelina,OSU-32,1
AMEN,Lind2024,33,Camelina,OSU-39,1
AMEN,Lind2024,34,Camelina,OSU-76,1
AMEN,Lind2024,35,Camelina,OSU-133,1
AMEN,Lind2024,36,Camelina,OSU-157,1
AMEN,Lind2024,37,Camelina,OSU-164,1
AMEN,Lind2024,38,Camelina,OSU-167,1
AMEN,Lind2024,39,Camelina,OSU-184,1
AMEN,Lind2024,40,Camelina,BORDER,
AMEN,Lind2024,1,Camelina,BORDER,NA
AMEN,Lind2024,2,Pennycress,MN106-FR,1
AMEN,Lind2024,3,Pennycress,ISU-86,1
AMEN,Lind2024,4,Camelina,Cheyenne,1
AMEN,Lind2024,5,Camelina,Calena,1
AMEN,Lind2024,6,Pennycress,H8-3,1
AMEN,Lind2024,7,Camelina,Joelle,1
AMEN,Lind2024,8,Camelina,WA-HT1,1
AMEN,Lind2024,9,Pennycress,H8-2,1
AMEN,Lind2024,10,Pennycress,ISU-254,1
AMEN,Lind2024,11,Camelina,Suneson,1
AMEN,Lind2024,12,Camelina,BSX-WGI,1
AMEN,Lind2024,13,Pennycress,MN106,1
AMEN,Lind2024,14,Camelina,Bison,1
AMEN,Lind2024,15,FALLOW,FALLOW,NA
AMEN,Lind2024,16,Camelina,Joelle,2
AMEN,Lind2024,17,Camelina,Cheyenne,2
AMEN,Lind2024,18,Camelina,Suneson,2
AMEN,Lind2024,19,Pennycress,MN106,2
AMEN,Lind2024,20,Pennycress,H8-2,2
AMEN,Lind2024,21,Camelina,Bison,2
AMEN,Lind2024,22,Pennycress,ISU-86,2
AMEN,Lind2024,23,Camelina,Calena,2
AMEN,Lind2024,24,Pennycress,ISU-254,2
AMEN,Lind2024,25,Camelina,WA-HT1,2
AMEN,Lind2024,26,Pennycress,MN106-FR,2
AMEN,Lind2024,27,Pennycress,H8-3,2
AMEN,Lind2024,28,Camelina,BSX-WGI,2
AMEN,Lind2024,29,Camelina,BORDER,NA
AMEN,Lind2024,30,Camelina,OSU-4,1
AMEN,Lind2024,31,Camelina,OSU-11,1
AMEN,Lind2024,32,Camelina,OSU-32,1
AMEN,Lind2024,33,Camelina,OSU-39,1
AMEN,Lind2024,34,Camelina,OSU-76,1
AMEN,Lind2024,35,Camelina,OSU-133,1
AMEN,Lind2024,36,Camelina,OSU-157,1
AMEN,Lind2024,37,Camelina,OSU-164,1
AMEN,Lind2024,38,Camelina,OSU-167,1
AMEN,Lind2024,39,Camelina,OSU-184,1
AMEN,Lind2024,40,Camelina,BORDER,NA
AMEN,Lind2024,1,Camelina,BORDER,NA
AMEN,Lind2024,2,Pennycress,MN106-FR,1
AMEN,Lind2024,3,Pennycress,ISU-86,1
AMEN,Lind2024,4,Camelina,Cheyenne,1
AMEN,Lind2024,5,Camelina,Calena,1
AMEN,Lind2024,6,Pennycress,H8-3,1
AMEN,Lind2024,7,Camelina,Joelle,1
AMEN,Lind2024,8,Camelina,WA-HT1,1
AMEN,Lind2024,9,Pennycress,H8-2,1
AMEN,Lind2024,10,Pennycress,ISU-254,1
AMEN,Lind2024,11,Camelina,Suneson,1
AMEN,Lind2024,12,Camelina,BSX-WGI,1
AMEN,Lind2024,13,Pennycress,MN106,1
AMEN,Lind2024,14,Camelina,Bison,1
AMEN,Lind2024,15,FALLOW,FALLOW,NA
AMEN,Lind2024,16,Camelina,Joelle,2
AMEN,Lind2024,17,Camelina,Cheyenne,2
AMEN,Lind2024,18,Camelina,Suneson,2
AMEN,Lind2024,19,Pennycress,MN106,2
AMEN,Lind2024,20,Pennycress,H8-2,2
AMEN,Lind2024,21,Camelina,Bison,2
AMEN,Lind2024,22,Pennycress,ISU-86,2
AMEN,Lind2024,23,Camelina,Calena,2
AMEN,Lind2024,24,Pennycress,ISU-254,2
AMEN,Lind2024,25,Camelina,WA-HT1,2
AMEN,Lind2024,26,Pennycress,MN106-FR,2
AMEN,Lind2024,27,Pennycress,H8-3,2
AMEN,Lind2024,28,Camelina,BSX-WGI,2
AMEN,Lind2024,29,Camelina,BORDER,NA
AMEN,Lind2024,30,Camelina,OSU-4,1
AMEN,Lind2024,31,Camelina,OSU-11,1
AMEN,Lind2024,32,Camelina,OSU-32,1
AMEN,Lind2024,33,Camelina,OSU-39,1
AMEN,Lind2024,34,Camelina,OSU-76,1
AMEN,Lind2024,35,Camelina,OSU-133,1
AMEN,Lind2024,36,Camelina,OSU-157,1
AMEN,Lind2024,37,Camelina,OSU-164,1
AMEN,Lind2024,38,Camelina,OSU-167,1
AMEN,Lind2024,39,Camelina,OSU-184,1
AMEN,Lind2024,40,Camelina,BORDER,NA
AMEN,Lind2024,1,Camelina,BORDER,NA
AMEN,Lind2024,2,Pennycress,MN106-FR,1
AMEN,Lind2024,3,Pennycress,ISU-86,1
AMEN,Lind2024,4,Camelina,Cheyenne,1
AMEN,Lind2024,5,Camelina,Calena,1
AMEN,Lind2024,6,Pennycress,H8-3,1
AMEN,Lind2024,7,Camelina,Joelle,1
AMEN,Lind2024,8,Camelina,WA-HT1,1
AMEN,Lind2024,9,Pennycress,H8-2,1
AMEN,Lind2024,10,Pennycress,ISU-254,1
AMEN,Lind2024,11,Camelina,Suneson,1
AMEN,Lind2024,12,Camelina,BSX-WGI,1
AMEN,Lind2024,13,Pennycress,MN106,1
AMEN,Lind2024,14,Camelina,Bison,1
AMEN,Lind2024,15,FALLOW,FALLOW,NA
AMEN,Lind2024,16,Camelina,Joelle,2
AMEN,Lind2024,17,Camelina,Cheyenne,2
AMEN,Lind2024,18,Camelina,Suneson,2
AMEN,Lind2024,19,Pennycress,MN106,2
AMEN,Lind2024,20,Pennycress,H8-2,2
AMEN,Lind2024,21,Camelina,Bison,2
AMEN,Lind2024,22,Pennycress,ISU-86,2
AMEN,Lind2024,23,Camelina,Calena,2
AMEN,Lind2024,24,Pennycress,ISU-254,2
AMEN,Lind2024,25,Camelina,WA-HT1,2
AMEN,Lind2024,26,Pennycress,MN106-FR,2
AMEN,Lind2024,27,Pennycress,H8-3,2
AMEN,Lind2024,28,Camelina,BSX-WGI,2
AMEN,Lind2024,29,Camelina,BORDER,NA
AMEN,Lind2024,30,Camelina,OSU-4,1
AMEN,Lind2024,31,Camelina,OSU-11,1
AMEN,Lind2024,32,Camelina,OSU-32,1
AMEN,Lind2024,33,Camelina,OSU-39,1
AMEN,Lind2024,34,Camelina,OSU-76,1
AMEN,Lind2024,35,Camelina,OSU-133,1
AMEN,Lind2024,36,Camelina,OSU-157,1
AMEN,Lind2024,37,Camelina,OSU-164,1
AMEN,Lind2024,38,Camelina,OSU-167,1
AMEN,Lind2024,39,Camelina,OSU-184,1
AMEN,Lind2024,40,Camelina,BORDER,NA
AMEN,Lind2024,1,Camelina,BORDER,NA
AMEN,Lind2024,2,Pennycress,MN106-FR,1
AMEN,Lind2024,3,Pennycress,ISU-86,1
AMEN,Lind2024,4,Camelina,Cheyenne,1
AMEN,Lind2024,5,Camelina,Calena,1
AMEN,Lind2024,6,Pennycress,H8-3,1
AMEN,Lind2024,7,Camelina,Joelle,1
AMEN,Lind2024,8,Camelina,WA-HT1,1
AMEN,Lind2024,9,Pennycress,H8-2,1
AMEN,Lind2024,10,Pennycress,ISU-254,1
AMEN,Lind2024,11,Camelina,Suneson,1
AMEN,Lind2024,12,Camelina,BSX-WGI,1
AMEN,Lind2024,13,Pennycress,MN106,1
AMEN,Lind2024,14,Camelina,Bison,1
